"","kabupaten_kota","umbi_umbian","ketala_pohon_singkong","ketela_rambat_ubi_jalar","sagu_bukan_dari_ketela_pohon","talas_keladi","kentang","gaplek","umbi_umbian_lainnya"
"102","Lahat",1413,420,357,12,5,568,43,8
"103","Musi Rawas",1336,462,243,47,53,479,17,36
"104","Musi Banyuasin",2220,778,462,192,20,758,7,3
"105","Banyu Asin",1969,560,304,114,38,817,0,135
"106","Ogan Komering Ulu Selatan",776,267,194,41,18,251,5,NA
"107","Ogan Komering Ulu Timur",1090,417,232,48,12,214,102,65
"108","Ogan Ilir",1707,516,332,129,19,431,3,276
"109","Empat Lawang",1143,222,294,24,10,546,4,43
"110","Penukal Abab Lematang Ilir",1218,417,308,77,32,368,1,14
"111","Musi Rawas Utara",1855,653,426,70,75,617,2,12
"112","Kota Palembang",1743,423,224,187,20,603,5,280
"113","Kota Prabumulih",1000,296,178,27,3,370,3,123
"114","Kota Pagar Alam",1159,312,255,83,26,414,11,60
"115","Kota Lubuklinggau",1604,351,304,47,12,670,4,215
"116","Bengkulu Selatan",988,282,269,4,24,395,NA,15
"117","Rejang Lebong",1366,285,169,48,104,755,3,2
"118","Bengkulu Utara",1527,537,253,27,77,624,9,NA
"119","Kaur",1197,274,423,29,28,429,3,11
"120","Seluma",1178,377,258,16,61,464,NA,3
"121","Mukomuko",1502,424,217,NA,73,774,14,NA
"122","Lebong",1625,298,307,13,60,924,NA,22
"123","Kepahiang",1336,326,205,26,44,730,4,2
"124","Bengkulu Tengah",1333,393,214,5,47,670,NA,4
"125","Kota Bengkulu",1352,240,227,31,23,830,NA,NA
"126","Lampung Barat",1872,585,372,6,151,675,64,19
"127","Tanggamus",986,416,205,3,93,238,19,12
"128","Lampung Selatan",1428,591,313,65,22,386,16,36
"129","Lampung Timur",1131,327,221,8,14,405,76,79
"130","Lampung Tengah",1316,420,339,NA,29,306,139,83
"131","Lampung Utara",1135,379,213,1,30,429,23,61
"132","Way Kanan",1231,402,278,2,26,366,110,46
"133","Tulangbawang",844,372,138,8,28,215,29,55
"134","Pesawaran",1034,376,262,10,36,329,18,2
"135","Pringsewu",1160,475,211,3,42,335,58,36
"136","Mesuji",1140,395,244,9,16,217,184,76
"137","Tulang Bawang Barat",672,243,169,NA,4,168,65,23
"138","Pesisir Barat",1171,406,232,4,49,477,NA,4
"139","Kota Bandar Lampung",1586,423,209,116,74,726,2,36
"140","Kota Metro",861,292,181,NA,3,360,5,20
"141","Bangka",1525,360,195,232,108,618,NA,11
"142","Belitung",1900,791,348,30,160,556,5,10
"143","Bangka Barat",1748,504,266,335,134,505,NA,4
"144","Bangka Tengah",1460,313,207,155,173,542,2,67
"145","Bangka Selatan",1147,398,159,241,85,222,25,17
"146","Belitung Timur",1882,710,345,34,134,620,5,34
"147","Kota Pangkal Pinang",1889,303,248,222,151,828,11,127
"148","Karimun",1778,412,182,62,92,1007,12,12
"149","Bintan",1787,478,212,34,113,950,NA,NA
"150","Natuna",2233,919,557,307,115,320,NA,15
"151","Lingga",1299,560,185,100,26,426,2,NA
"152","Kepulauan Anambas",1405,517,269,60,66,492,NA,NA
"153","Kota Batam",2381,424,413,10,62,1467,NA,6
"154","Kota Tanjung Pinang",2139,427,239,10,122,1340,NA,NA
"155","Kep. Seribu",1346,412,193,148,8,510,16,60
"156","Kota Jakarta Selatan",2356,348,264,19,64,1631,16,13
"157","Kota Jakarta Timur",2281,447,256,17,80,1417,21,44
"158","Kota Jakarta Pusat",1651,281,144,10,8,1166,22,19
"159","Kota Jakarta Barat",2054,435,216,23,34,1309,9,27
"160","Kota Jakarta Utara",1850,341,284,13,31,1160,13,9
"161","Bogor",1521,438,296,19,45,715,2,6
"162","Sukabumi",1383,531,270,3,90,470,4,15
"163","Cianjur",1820,611,324,2,83,784,7,10
"164","Bandung",1670,349,285,3,18,997,7,10
"165","Garut",1430,403,269,1,19,727,10,0
"166","Tasikmalaya",1204,349,276,0,105,464,2,7
"167","Ciamis",1526,380,290,5,98,739,4,10
"168","Kuningan",1872,642,494,2,71,644,14,6
"169","Cirebon",732,257,183,2,13,258,6,12
"170","Majalengka",1345,382,384,NA,86,479,8,6
"171","Sumedang",1336,374,341,1,38,576,4,1
"172","Indramayu",800,334,140,1,12,292,8,14
"173","Subang",876,353,190,5,18,305,4,0
"174","Purwakarta",1396,484,289,2,23,593,2,3
"175","Karawang",767,267,101,1,16,375,2,6
"176","Bekasi",1392,386,173,11,27,785,6,5
"177","Bandung Barat",1867,518,319,5,21,982,7,15
"178","Pangandaran",1631,609,343,6,82,569,20,2
"179","Kota Bogor",1886,370,276,9,54,1164,10,4
"180","Kota Sukabumi",1294,262,152,7,22,843,6,3
"181","Kota Bandung",2014,306,270,11,23,1370,13,22
"182","Kota Cirebon",1207,213,207,NA,10,771,3,2
"183","Kota Bekasi",2456,479,316,20,63,1540,26,14
"184","Kota Depok",2396,508,319,34,79,1423,10,23
"185","Kota Cimahi",1882,365,272,NA,7,1223,6,9
"186","Kota Tasikmalaya",1596,408,234,NA,22,904,17,11
"187","Kota Banjar",2310,734,447,4,51,1069,4,2
"188","Cilacap",757,252,89,4,20,375,11,6
"189","Banyumas",1402,475,303,1,35,555,12,20
"190","Purbalingga",983,270,173,2,67,455,8,8
"191","Banjarnegara",1777,420,283,2,151,843,54,24
"192","Kebumen",1141,424,173,3,31,422,30,58
"193","Purworejo",957,349,171,NA,24,369,40,4
"194","Wonosobo",1448,336,295,5,116,603,49,43
"195","Magelang",1092,312,112,1,52,607,5,2
"196","Boyolali",1052,476,230,NA,24,312,1,9
"197","Klaten",1179,503,210,1,15,439,3,9
"198","Sukoharjo",1305,383,254,5,10,614,2,37
"199","Wonogiri",1249,332,202,NA,6,600,100,10
"200","Karanganyar",1064,357,321,NA,12,358,11,5
"201","Sragen",1268,525,332,NA,10,386,12,4
"202","Grobogan",675,339,207,2,23,102,NA,3
"203","Blora",716,286,199,NA,85,138,1,6
"204","Rembang",610,327,168,3,25,74,1,11
"205","Pati",1078,489,230,NA,41,305,1,12
"206","Kudus",1049,349,210,NA,12,466,11,0
"207","Jepara",1017,483,158,NA,40,322,11,2
"208","Demak",1137,415,422,NA,34,240,10,17
"209","Semarang",1237,411,277,2,51,492,2,2
"210","Temanggung",887,273,78,1,44,465,27,NA
"211","Kendal",965,364,325,1,36,224,1,14
"212","Batang",987,425,189,11,21,326,13,2
"213","Pekalongan",942,449,246,NA,28,218,0,2
"214","Pemalang",1004,539,252,3,13,197,1,NA
"215","Tegal",955,409,228,8,11,298,NA,NA
"216","Brebes",841,349,205,NA,40,245,1,2
"217","Kota Magelang",1729,566,118,NA,22,1017,2,5
"218","Kota Surakarta",1068,275,177,NA,3,612,2,NA
"219","Kota Salatiga",1677,467,218,0,33,957,1,1
"220","Kota Semarang",1471,457,245,1,22,724,NA,22
"221","Kota Pekalongan",864,292,179,NA,NA,393,NA,NA
"222","Kota Tegal",758,265,195,NA,7,291,NA,1
"223","Kulon Progo",1448,646,197,NA,32,556,7,10
"224","Bantul",1226,465,172,8,7,533,9,32
"225","Gunung Kidul",1254,570,245,3,19,306,86,24
"226","Sleman",1746,512,242,2,52,931,NA,8
"227","Kota Yogyakarta",1450,299,132,0,1,1016,NA,3
"228","Pacitan",1164,275,58,NA,7,339,459,25
"229","Ponorogo",1701,336,210,NA,10,793,306,45
"230","Trenggalek",1059,206,94,NA,56,415,191,98
"231","Tulungagung",1554,436,304,NA,73,674,64,3
"232","Blitar",1066,302,177,2,33,436,78,39
"233","Kediri",1317,427,223,NA,17,599,4,47
"234","Malang",1348,448,142,2,96,597,43,20
"235","Lumajang",1818,587,488,1,91,626,23,1
"236","Jember",1244,403,247,2,80,497,6,9
"237","Banyuwangi",789,364,198,7,46,167,NA,7
"238","Bondowoso",965,370,160,NA,56,376,1,2
"239","Situbondo",615,306,82,NA,18,204,1,4
"240","Probolinggo",972,316,69,NA,34,549,NA,3
"241","Pasuruan",1517,454,236,3,9,800,4,10
"242","Sidoarjo",2011,553,332,6,28,1066,20,6
"243","Mojokerto",1728,405,484,NA,21,814,NA,4
"244","Jombang",1386,296,287,1,25,759,11,7
"245","Nganjuk",1246,319,263,NA,22,610,28,4
"246","Madiun",1306,463,240,NA,14,402,181,6
"247","Magetan",1461,460,242,NA,1,725,20,12
"248","Ngawi",1479,420,387,NA,45,581,40,6
"249","Bojonegoro",729,272,160,4,81,201,5,6
"250","Tuban",917,297,297,2,172,138,NA,12
"251","Lamongan",1062,470,243,2,41,299,NA,5
"252","Gresik",1238,362,284,19,16,556,0,NA
"253","Bangkalan",1209,591,214,4,72,319,1,7
"254","Sampang",533,309,128,2,27,43,1,22
"255","Pamekasan",542,309,52,3,28,143,6,1
"256","Sumenep",1401,709,192,NA,64,412,23,NA
"257","Kota Kediri",1047,334,149,0,9,551,2,1
"258","Kota Blitar",1098,382,169,NA,28,490,6,22
"259","Kota Malang",1410,384,174,NA,39,797,1,14
"260","Kota Probolinggo",1481,359,224,NA,21,855,NA,23
"261","Kota Pasuruan",1144,255,264,NA,16,605,3,NA
"262","Kota Mojokerto",1395,342,261,0,11,781,NA,NA
"263","Kota Madiun",1829,544,332,2,6,883,51,11
"264","Kota Surabaya",1823,510,293,7,31,973,4,5
"265","Kota Batu",1809,395,332,NA,56,987,3,37
"266","Pandeglang",851,420,268,3,22,123,7,9
"267","Lebak",1798,726,547,23,96,386,4,17
"268","Tangerang",1442,516,199,2,2,692,21,9
"269","Serang",1060,534,295,NA,18,207,3,3
"270","Kota Tangerang",2077,490,256,7,12,1295,2,14
"271","Kota Cilegon",2232,672,384,11,40,1066,10,50
"272","Kota Serang",1336,402,291,7,16,602,15,3
"273","Kota Tangerang Selatan",2982,653,391,47,38,1828,22,3
"274","Jembrana",1008,542,153,NA,163,145,NA,5
"275","Tabanan",1562,527,159,NA,227,650,NA,NA
"276","Badung",1527,409,352,NA,242,524,NA,NA
"277","Gianyar",1614,314,653,NA,154,490,4,NA
"278","Klungkung",1423,938,255,7,87,136,NA,NA
"279","Bangli",1698,502,621,7,283,284,NA,NA
"280","Karangasem",913,432,263,1,98,77,43,NA
"281","Buleleng",1676,622,240,NA,304,507,NA,3
"282","Kota Denpasar",1798,387,338,NA,176,893,2,1
"283","Lombok Barat",903,565,97,5,139,95,NA,1
"284","Lombok Tengah",1075,575,234,2,210,54,NA,0
"285","Lombok Timur",1662,843,430,3,177,192,NA,16
"286","Sumbawa",867,355,189,2,40,281,NA,NA
"287","Dompu",938,685,174,3,25,47,NA,5
"288","Bima",505,376,67,NA,29,22,NA,11
"289","Sumbawa Barat",1370,623,290,NA,46,371,40,NA
"290","Lombok Utara",1318,923,90,11,190,102,NA,1
"291","Kota Mataram",1422,562,281,NA,166,413,NA,NA
"292","Kota Bima",796,329,151,NA,50,266,NA,0
"293","Sumba Barat",1207,819,58,9,257,64,NA,0
"294","Sumba Timur",527,238,74,NA,132,80,NA,3
"295","Kupang",566,364,166,NA,NA,33,NA,4
"296","Timor Tengah Selatan",1023,666,149,2,39,166,2,NA
"297","Timor Tengah Utara",634,426,60,NA,0,139,8,NA
"298","Belu",1370,713,166,43,77,292,79,NA
"299","Alor",2168,1327,208,NA,240,47,10,337
"300","Lembata",1198,893,74,4,157,60,2,9
"301","Flores Timur",697,463,55,1,128,21,22,8
"302","Sikka",1230,661,75,4,297,160,12,22
"303","Ende",3090,2319,73,6,329,315,31,17
"304","Ngada",1524,1016,129,NA,130,200,NA,50
"305","Manggarai",1812,1143,269,7,256,119,9,9
"306","Rote Ndao",394,92,207,NA,NA,95,NA,NA
"307","Manggarai Barat",1018,581,108,NA,143,182,NA,4
"308","Sumba Tengah",1131,760,69,2,264,22,5,10
"309","Sumba Barat Daya",1254,877,68,2,277,13,6,11
"310","Nagekeo",1512,939,119,1,312,86,NA,54
"311","Manggarai Timur",1720,1135,147,17,355,8,8,50
