"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"506","Nduga",24385,83,44,8214,674,11349,281,NA,1535,34,NA,NA,NA,NA,NA,48,1172,814,NA,77,NA,NA,NA,NA,52,NA,NA,8,NA,NA,NA,NA
"507","Lanny Jaya",10186,NA,NA,7719,58,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,420,1840,17,NA,NA,NA,NA
"508","Mamberamo Tengah",1247,19,23,721,NA,17,NA,NA,185,106,NA,NA,12,NA,NA,51,10,NA,NA,40,NA,NA,NA,29,27,NA,7,NA,NA,NA,NA,NA
"509","Yalimo",14905,21,218,1599,56,958,NA,80,3938,120,NA,NA,NA,NA,NA,261,1939,317,NA,32,NA,18,NA,NA,58,NA,1888,58,3316,30,NA,NA
"510","Puncak",8898,NA,NA,755,115,6958,NA,NA,NA,21,NA,NA,NA,NA,NA,370,NA,NA,NA,194,NA,NA,NA,NA,49,436,NA,NA,NA,NA,NA,NA
"511","Dogiyai",4992,92,486,133,124,645,22,NA,1592,42,170,NA,NA,6,NA,55,17,11,NA,79,NA,NA,NA,11,74,3,611,140,679,NA,NA,NA
"512","Intan Jaya",1468,153,9,7,5,542,NA,NA,282,13,22,NA,NA,7,53,NA,5,NA,4,30,NA,NA,NA,NA,124,NA,188,NA,9,NA,15,NA
"513","Deiyai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Kota Jayapura",56616,795,1165,912,3382,1873,560,2051,10783,4084,382,167,1928,465,1267,7638,366,805,966,1140,354,663,491,3543,2021,2563,1114,678,2301,648,981,531
"515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Makanan Minuman Jadi Per Kabupaten/kota Subdirektorat Statistik Rumah Tangga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
