"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"496","Mappi",16239,NA,27,84,NA,985,3,163,4721,2000,138,1034,1378,NA,3,104,569,3538,515,169,21,10,204,NA,NA,NA,4,NA,NA,3,15,387,164,NA,NA,NA
"497","Asmat",26878,69,52,28,NA,655,NA,2179,3217,1153,123,993,5394,96,NA,236,283,8088,2838,NA,700,177,NA,12,NA,NA,NA,NA,NA,38,10,451,86,NA,NA,NA
"498","Yahukimo",5325,627,NA,NA,NA,NA,NA,NA,144,807,3039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,NA,NA,NA,NA
"499","Pegunungan Bintang",6797,991,269,NA,NA,880,NA,NA,77,2266,1175,202,NA,29,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,NA,NA,NA,NA
"500","Tolikara",1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1574,NA,NA,NA,NA
"501","Sarmi",18983,1696,7354,1665,27,1390,110,502,1099,1811,NA,42,529,NA,NA,NA,91,575,1225,NA,83,173,NA,25,NA,40,95,14,NA,NA,12,426,NA,NA,NA,NA
"502","Keerom",10653,2065,1769,31,NA,1581,146,64,704,1882,366,337,64,NA,5,15,15,469,131,33,NA,NA,NA,27,NA,64,67,47,41,22,NA,668,26,11,NA,4
"503","Waropen",36203,1612,7034,1363,606,5026,164,245,3154,1731,431,1768,2959,44,15,4,106,1973,2786,105,2450,1796,198,NA,24,55,NA,NA,NA,53,218,102,35,142,NA,NA
"504","Supiori",47326,5627,5540,1236,440,335,72,NA,NA,NA,NA,40,1925,14006,NA,NA,NA,15604,54,624,5,1654,9,NA,NA,14,4,NA,NA,NA,NA,111,22,NA,4,2
"505","Mamberamo Raya",20776,320,728,395,NA,1308,NA,445,1120,4805,1038,1246,2632,NA,NA,NA,NA,5213,431,NA,607,68,NA,NA,54,NA,NA,NA,NA,NA,NA,198,146,NA,NA,25
"506","Nduga",24456,90,NA,NA,NA,180,NA,NA,788,3012,690,828,NA,NA,NA,28,NA,838,NA,NA,NA,NA,593,NA,NA,NA,NA,NA,NA,NA,NA,14399,2943,NA,17,50
"507","Lanny Jaya",7304,NA,NA,NA,NA,827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5332,32,NA,NA,1114
"508","Mamberamo Tengah",3123,216,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2866,NA,NA,NA,NA
"509","Yalimo",29666,NA,NA,NA,NA,NA,NA,NA,2949,10929,9072,101,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,250,NA,NA,NA,60,6125,23,NA,NA,NA
"510","Puncak",1266,990,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","Dogiyai",9350,984,109,NA,NA,NA,20,16,1276,1734,2440,524,100,54,NA,NA,97,168,NA,NA,NA,NA,935,NA,NA,214,NA,NA,NA,NA,NA,655,24,NA,NA,NA
"512","Intan Jaya",8068,NA,NA,NA,NA,NA,NA,NA,NA,1831,51,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5917,NA,NA,NA,NA
"513","Deiyai",9633,NA,NA,NA,NA,NA,NA,NA,NA,3358,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4354,NA,NA,NA,NA
"514","Kota Jayapura",28314,3162,8958,616,69,3911,510,426,514,2696,134,42,745,157,NA,60,86,428,2161,2006,88,32,NA,13,35,871,106,NA,NA,10,0,419,12,NA,50,NA
